Name,ID,URL
Ryan Burl,58070,https://www.cricket.com/players/ryan-burl-58070/recent
Shardul Thakur,63345,https://www.cricket.com/players/shardul-thakur-63345/recent
Shreyas Iyer,63961,https://www.cricket.com/players/shreyas-iyer-63961/recent
Ishan Kishan,64712,https://www.cricket.com/players/ishan-kishan-64712/recent
Krunal Pandya,63788,https://www.cricket.com/players/krunal-pandya-63788/recent
Varun Chakravarthy,67469,https://www.cricket.com/players/varun-chakravarthy-67469/recent
Ruturaj Gaikwad,66584,https://www.cricket.com/players/ruturaj-gaikwad-66584/recent
Ajinkya Rahane,3991,https://www.cricket.com/players/ajinkya-rahane-3991/recent
Mohammed Shami,28994,https://www.cricket.com/players/mohammed-shami-28994/recent
Sanju Samson,61837,https://www.cricket.com/players/sanju-samson-61837/recent
Virat Kohli,3993,https://www.cricket.com/players/virat-kohli-3993/recent
Axar Patel,62576,https://www.cricket.com/players/axar-patel-62576/recent
Khaleel Ahmed,65867,https://www.cricket.com/players/khaleel-ahmed-65867/recent
Ravindra Jadeja,3850,https://www.cricket.com/players/ravindra-jadeja-3850/recent
Sikandar Raza,25422,https://www.cricket.com/players/sikandar-raza-25422/recent
Noor Ahmad,71411,https://www.cricket.com/players/noor-ahmad-71411/recent
Suryakumar Yadav,11803,https://www.cricket.com/players/suryakumar-yadav-11803/recent
Quinton De Kock,28035,https://www.cricket.com/players/quinton-de-kock-28035/recent
Shubman Gill,66818,https://www.cricket.com/players/shubman-gill-66818/recent
Shivam Dube,66044,https://www.cricket.com/players/shivam-dube-66044/recent
Tim Seifert,63867,https://www.cricket.com/players/tim-seifert-63867/recent
Nitish Rana,63649,https://www.cricket.com/players/nitish-rana-63649/recent
Ravichandran Ashwin,4555,https://www.cricket.com/players/ravichandran-ashwin-4555/recent
Devdutt Padikkal,67589,https://www.cricket.com/players/devdutt-padikkal-67589/recent
Rishabh Pant,65756,https://www.cricket.com/players/rishabh-pant-65756/recent
Nicholas Pooran,63726,https://www.cricket.com/players/nicholas-pooran-63726/recent
Mitchell Marsh,10094,https://www.cricket.com/players/mitchell-marsh-10094/recent
Finn Allen,66046,https://www.cricket.com/players/finn-allen-66046/recent
Mohammed Siraj,65799,https://www.cricket.com/players/mohammed-siraj-65799/recent
Prasidh Krishna,65702,https://www.cricket.com/players/prasidh-krishna-65702/recent
Rohit Sharma,3852,https://www.cricket.com/players/rohit-sharma-3852/recent
Deepak Chahar,59547,https://www.cricket.com/players/deepak-chahar-59547/recent
Kuldeep Yadav,63187,https://www.cricket.com/players/kuldeep-yadav-63187/recent
Abhishek Sharma,66799,https://www.cricket.com/players/abhishek-sharma-66799/recent
Arshdeep Singh,67905,https://www.cricket.com/players/arshdeep-singh-67905/recent
Harshal Patel,5407,https://www.cricket.com/players/harshal-patel-5407/recent
Hussain Talat,64073,https://www.cricket.com/players/hussain-talat-64073/recent
Dhruv Jurel,71370,https://www.cricket.com/players/dhruv-jurel-71370/recent
Travis Head,62023,https://www.cricket.com/players/travis-head-62023/recent
James Neesham,10172,https://www.cricket.com/players/james-neesham-10172/recent
Sandeep Sharma,10116,https://www.cricket.com/players/sandeep-sharma-10116/recent
Moeen Ali,4688,https://www.cricket.com/players/moeen-ali-4688/recent
Sunil Narine,11229,https://www.cricket.com/players/sunil-narine-11229/recent
Heinrich Klaasen,59736,https://www.cricket.com/players/heinrich-klaasen-59736/recent
Rachin Ravindra,66053,https://www.cricket.com/players/rachin-ravindra-66053/recent
Mitchell Starc,10053,https://www.cricket.com/players/mitchell-starc-10053/recent
Philip Salt,65632,https://www.cricket.com/players/philip-salt-65632/recent
Pat Cummins,56964,https://www.cricket.com/players/pat-cummins-56964/recent
Adam Zampa,58913,https://www.cricket.com/players/adam-zampa-58913/recent
Yuzvendra Chahal,9844,https://www.cricket.com/players/yuzvendra-chahal-9844/recent
Josh Hazlewood,4255,https://www.cricket.com/players/josh-hazlewood-4255/recent
Mohit Sharma,63341,https://www.cricket.com/players/mohit-sharma-63341/recent
Jofra Archer,64254,https://www.cricket.com/players/jofra-archer-64254/recent
Marcus Stoinis,4311,https://www.cricket.com/players/marcus-stoinis-4311/recent
Rahul Tewatia,64440,https://www.cricket.com/players/rahul-tewatia-64440/recent
Amelia Kerr,66632,https://www.cricket.com/players/amelia-kerr-66632/recent
Jasprit Bumrah,63755,https://www.cricket.com/players/jasprit-bumrah-63755/recent
Kl Rahul,60122,https://www.cricket.com/players/kl-rahul-60122/recent
Bhuvneshwar Kumar,5132,https://www.cricket.com/players/bhuvneshwar-kumar-5132/recent
Dinesh Karthik,3632,https://www.cricket.com/players/dinesh-karthik-3632/recent
Hardik Pandya,63751,https://www.cricket.com/players/hardik-pandya-63751/recent
Riyan Parag,66939,https://www.cricket.com/players/riyan-parag-66939/recent
Jacob Duffy,57672,https://www.cricket.com/players/jacob-duffy-57672/recent
Jos Buttler,9782,https://www.cricket.com/players/jos-buttler-9782/recent
Faf Du Plessis,28891,https://www.cricket.com/players/faf-du-plessis-28891/recent
Glenn Maxwell,10085,https://www.cricket.com/players/glenn-maxwell-10085/recent
Kagiso Rabada,63611,https://www.cricket.com/players/kagiso-rabada-63611/recent
Rinku Singh,64727,https://www.cricket.com/players/rinku-singh-64727/recent
Avesh Khan,64511,https://www.cricket.com/players/avesh-khan-64511/recent
Blessing Muzarabani,67784,https://www.cricket.com/players/blessing-muzarabani-67784/recent
Wanindu Hasaranga,65027,https://www.cricket.com/players/wanindu-hasaranga-65027/recent
Yashasvi Jaiswal,69238,https://www.cricket.com/players/yashasvi-jaiswal-69238/recent
Rashid Khan,65748,https://www.cricket.com/players/rashid-khan-65748/recent
Sam Curran,65584,https://www.cricket.com/players/sam-curran-65584/recent
Fazal Haque,67927,https://www.cricket.com/players/fazal-haque-67927/recent
Ravi Bishnoi,71288,https://www.cricket.com/players/ravi-bishnoi-71288/recent
Andre Russell,12047,https://www.cricket.com/players/andre-russell-12047/recent
Rahul Tripathi,41229,https://www.cricket.com/players/rahul-tripathi-41229/recent
Jake Fraser Mcgurk,70746,https://www.cricket.com/players/jake-fraser-mcgurk-70746/recent
Shan Masood,11754,https://www.cricket.com/players/shan-masood-11754/recent
Ms Dhoni,3676,https://www.cricket.com/players/ms-dhoni-3676/recent
Maddy Green,57906,https://www.cricket.com/players/maddy-green-57906/recent
Wellington Masakadza,63154,https://www.cricket.com/players/wellington-masakadza-63154/recent
David Miller,5313,https://www.cricket.com/players/david-miller-5313/recent
Will Jacks,66927,https://www.cricket.com/players/will-jacks-66927/recent
Wesley Madhevere,65847,https://www.cricket.com/players/wesley-madhevere-65847/recent
Shimron Hetmyer,64861,https://www.cricket.com/players/shimron-hetmyer-64861/recent
Ish Sodhi,57625,https://www.cricket.com/players/ish-sodhi-57625/recent
Shadab Khan,65739,https://www.cricket.com/players/shadab-khan-65739/recent
Mark Chapman,60536,https://www.cricket.com/players/mark-chapman-60536/recent
Tilak Varma,70761,https://www.cricket.com/players/tilak-varma-70761/recent
Daryl Mitchell,57444,https://www.cricket.com/players/daryl-mitchell-57444/recent
Washington Sundar,65859,https://www.cricket.com/players/washington-sundar-65859/recent
Jess Kerr,70686,https://www.cricket.com/players/jess-kerr-70686/recent
Sherfane Rutherford,67285,https://www.cricket.com/players/sherfane-rutherford-67285/recent
Liam Livingstone,63940,https://www.cricket.com/players/liam-livingstone-63940/recent
Mitchell Santner,57903,https://www.cricket.com/players/mitchell-santner-57903/recent
Sophie Devine,62067,https://www.cricket.com/players/sophie-devine-62067/recent
Aiden Markram,64219,https://www.cricket.com/players/aiden-markram-64219/recent
Nathan Ellis,70324,https://www.cricket.com/players/nathan-ellis-70324/recent
Shaheen Afridi,66833,https://www.cricket.com/players/shaheen-afridi-66833/recent
Trent Boult,4338,https://www.cricket.com/players/trent-boult-4338/recent
Lea Tahuhu,57828,https://www.cricket.com/players/lea-tahuhu-57828/recent
David Warner,5380,https://www.cricket.com/players/david-warner-5380/recent
Moises Henriques,4957,https://www.cricket.com/players/moises-henriques-4957/recent
Jonny Bairstow,19394,https://www.cricket.com/players/jonny-bairstow-19394/recent
Tim David,67402,https://www.cricket.com/players/tim-david-67402/recent
Tamim Iqbal,3903,https://www.cricket.com/players/tamim-iqbal-3903/recent
Kane Williamson,4330,https://www.cricket.com/players/kane-williamson-4330/recent
Smriti Mandhana,63992,https://www.cricket.com/players/smriti-mandhana-63992/recent
Taskin Ahmed,58314,https://www.cricket.com/players/taskin-ahmed-58314/recent
Ben Duckett,63082,https://www.cricket.com/players/ben-duckett-63082/recent
Daniel Worrall,63271,https://www.cricket.com/players/daniel-worrall-63271/recent
Shakib Al Hasan,3782,https://www.cricket.com/players/shakib-al-hasan-3782/recent
Heather Knight,59735,https://www.cricket.com/players/heather-knight-59735/recent
Tom Latham,10167,https://www.cricket.com/players/tom-latham-10167/recent
Imran Mohammadi,67693,https://www.cricket.com/players/imran-mohammadi-67693/recent
Aamir Gani,63960,https://www.cricket.com/players/aamir-gani-63960/recent
Fawad Ahmed,42045,https://www.cricket.com/players/fawad-ahmed-42045/recent
